FSA,LANDAREA,Bachelor's degree or higher,"Car, truck or van - as a driver","Car, truck or van - as a passenger",Couple-family households,Employed,Employee,Median age of the population,Median total income of household in 2020 ($),Permanent position,"Population, 2021",Temporary position,With children,population_density,has_store,education_rate,employment_rate,driver_rate,family_rate,children_rate,region,region_Other Ontario,region_Ottawa,region_Toronto,region_Other Ontario,region_Ottawa,region_Toronto,store_probability
N2V,19.0718,6365.0,4505.0,400.0,4240.0,9375.0,8910.0,38.0,126000.0,7490.0,19428.0,1425.0,150.0,1018.6767898153296,0,32.76199299979411,48.255095738109944,23.1881820053531,21.824171299155857,0.7720815318097591,Other Ontario,True,False,False,True,False,False,0.628868397464949
L6Y,37.934,22905.0,24945.0,3005.0,13265.0,45695.0,43445.0,35.6,106000.0,35490.0,97601.0,7955.0,500.0,2572.91611746718,0,23.467997254126495,46.81816784664092,25.55813977315806,13.591049272036146,0.5122898330959724,GTA,False,False,False,False,False,False,0.6178649657469915
L0R,984.5589,11360.0,25960.0,1680.0,19270.0,39290.0,35645.0,40.8,110000.0,31030.0,83602.0,4615.0,1125.0,84.91315247873946,0,13.58819167005574,46.99648333771919,31.051888710796394,23.049687806511805,1.3456615870433721,Other Ontario,True,False,False,True,False,False,0.6176050692780557
M5T,1.4718,5870.0,860.0,95.0,2255.0,8195.0,7830.0,36.0,61600.0,5985.0,17903.0,1845.0,105.0,12164.016850115504,0,32.7878009272189,45.77445120929453,4.803664190359157,12.595654359604536,0.5864938837066414,Toronto,False,False,True,False,False,True,0.6170924067587398
N6A,6.0614,3965.0,2540.0,305.0,2320.0,6580.0,6435.0,34.0,61200.0,4920.0,13810.0,1515.0,90.0,2278.3515359487906,0,28.711078928312816,47.64663287472845,18.392469225199132,16.799420709630702,0.6517016654598118,Other Ontario,True,False,False,True,False,False,0.6139783904370834
M2J,10.1063,20350.0,9695.0,1175.0,11450.0,28295.0,27005.0,38.4,83000.0,22260.0,61761.0,4740.0,365.0,6111.1385967169,0,32.94959602338045,45.813701203024564,15.697608523178058,18.53920759055067,0.5909878402227943,Toronto,False,False,True,False,False,True,0.6100789905492626
K7K,28.8285,5965.0,7420.0,935.0,6165.0,14620.0,14970.0,37.2,67000.0,11895.0,33705.0,3075.0,675.0,1169.1555231801865,0,17.697670968699004,43.37635365672749,22.01453790238837,18.29105473965287,2.0026702269692924,Other Ontario,True,False,False,True,False,False,0.6067699549682154
N6K,34.3123,7725.0,8905.0,785.0,8925.0,15975.0,14880.0,44.4,100000.0,12565.0,37596.0,2310.0,410.0,1095.700375667035,0,20.547398659431853,42.491222470475584,23.686030428769016,23.73922757740185,1.0905415469730821,Other Ontario,True,False,False,True,False,False,0.5957255000927572
L7L,24.6378,12290.0,11470.0,1115.0,10910.0,23595.0,22090.0,42.4,122000.0,19170.0,47433.0,2920.0,505.0,1925.2124783868692,0,25.9102312735859,49.743849218898234,24.181477030759176,23.000864377121413,1.0646596251554825,GTA,False,False,False,False,False,False,0.592436653831514
L8L,13.2307,3695.0,6535.0,1115.0,4985.0,13015.0,13335.0,36.4,65000.0,11255.0,32312.0,2080.0,815.0,2442.1988254589705,0,11.435380044565486,40.27915325575638,20.224684327803914,15.427704877444912,2.5222827432532804,Other Ontario,True,False,False,True,False,False,0.5823084471710828
L1N,35.5046,8465.0,11900.0,1110.0,10100.0,21815.0,21390.0,43.6,100000.0,18765.0,49649.0,2625.0,725.0,1398.3821814638102,0,17.049688815484703,43.938447904288104,23.968257165300408,20.342806501641522,1.4602509617514956,Other Ontario,True,False,False,True,False,False,0.5816805833874651
M5P,3.3673,7470.0,2385.0,235.0,4295.0,10280.0,8050.0,43.2,99000.0,6745.0,19791.0,1310.0,155.0,5877.409200249458,0,37.74442928603911,51.942802283866406,12.050932241928148,21.70178363902784,0.7831842756808651,Toronto,False,False,True,False,False,True,0.5782928453052099
L3P,43.7598,8940.0,8010.0,790.0,7790.0,16105.0,14310.0,47.2,115000.0,11960.0,37336.0,2350.0,285.0,853.2031682046079,0,23.944718234411827,43.135311763445465,21.45382472680523,20.864581101349906,0.763338332976216,Other Ontario,True,False,False,True,False,False,0.5742750118172485
N0G,5612.6402,5225.0,27355.0,2325.0,20035.0,41855.0,33830.0,40.8,83000.0,29435.0,86935.0,4395.0,1475.0,15.489145375825087,0,6.010237533789613,48.145165928567316,31.46603784436648,23.045953873583713,1.6966699258066371,Other Ontario,True,False,False,True,False,False,0.5742571654642654
L1T,23.1674,10635.0,13070.0,1230.0,8920.0,24775.0,24075.0,37.6,130000.0,20515.0,52632.0,3560.0,530.0,2271.812978581973,0,20.20633834929321,47.07212342301262,24.8328013375893,16.947864417084663,1.0069919440644475,Other Ontario,True,False,False,True,False,False,0.5707189782285866
M4X,1.1465,6005.0,1415.0,260.0,3090.0,9140.0,8935.0,39.2,58800.0,7240.0,19896.0,1695.0,155.0,17353.685128652418,0,30.181946119823078,45.93888218737435,7.111982308001609,15.530759951749095,0.7790510655408123,Toronto,False,False,True,False,False,True,0.5675881301137857
L4S,28.7441,11880.0,7455.0,745.0,7280.0,16735.0,14730.0,43.2,119000.0,12260.0,36688.0,2470.0,175.0,1276.3662803844963,0,32.381160052333186,45.61436982119494,20.319995638901002,19.8430004361099,0.47699520279110336,GTA,False,False,False,False,False,False,0.5646298507461056
M6C,2.9792,8245.0,2960.0,360.0,4765.0,12370.0,10730.0,40.4,91000.0,8930.0,23997.0,1800.0,230.0,8054.84693877551,0,34.35846147435096,51.548110180439224,12.334875192732426,19.856648747760136,0.9584531399758303,Toronto,False,False,True,False,False,True,0.5619389198476598
M5M,5.1585,9665.0,3765.0,270.0,5770.0,12120.0,9475.0,43.2,164000.0,7875.0,25495.0,1600.0,170.0,4942.32819618106,0,37.9093939988233,47.53873308491861,14.76760149048833,22.631888605608943,0.6667974112571092,Toronto,False,False,True,False,False,True,0.5570730342160505
L1Z,23.2281,7575.0,7580.0,715.0,5600.0,15070.0,14530.0,35.2,134000.0,12430.0,31989.0,2100.0,325.0,1377.1681713097498,0,23.680015005158022,47.109944043264875,23.69564537809872,17.50601769358217,1.0159742411453938,Other Ontario,True,False,False,True,False,False,0.5563161462959181
L6E,8.2503,10350.0,7860.0,740.0,7115.0,17180.0,15985.0,39.6,115000.0,13480.0,38387.0,2500.0,225.0,4652.800504224089,0,26.962252846015577,44.75473467580171,20.475681871466904,18.534920676270612,0.5861359314351212,GTA,False,False,False,False,False,False,0.5469839906489988
L3X,18.6141,11505.0,12050.0,1170.0,8940.0,22200.0,20510.0,39.2,129000.0,17390.0,45284.0,3120.0,455.0,2432.7794521357464,0,25.406324529635192,49.02393781468068,26.60984012013073,19.74207225510114,1.0047698966522391,Other Ontario,True,False,False,True,False,False,0.5446665831360089
K0L,7368.4296,6715.0,21720.0,1310.0,19400.0,31150.0,27515.0,54.0,79000.0,23255.0,78142.0,4260.0,1525.0,10.604973412516555,0,8.593330091372117,39.863325740318906,27.795551687952702,24.826597732333443,1.951575337206624,Other Ontario,True,False,False,True,False,False,0.5418111355432297
L0S,623.7178,8340.0,15635.0,980.0,15590.0,24310.0,21325.0,53.2,95000.0,17850.0,60409.0,3480.0,705.0,96.85309606363649,0,13.80588985085004,40.24234799450413,25.88190501415352,25.80741280272807,1.167044645665381,Other Ontario,True,False,False,True,False,False,0.5348110569332721
L4H,76.334,17135.0,21915.0,1900.0,14850.0,37820.0,34855.0,37.6,144000.0,30385.0,77353.0,4470.0,570.0,1013.3492283910184,0,22.151694181221153,48.89273848460952,28.331157162618126,19.197704032164236,0.7368815689113545,GTA,False,False,False,False,False,False,0.5343545145780859
M4N,4.8658,5800.0,1740.0,120.0,3520.0,6820.0,5400.0,46.8,146000.0,4505.0,16058.0,900.0,85.0,3300.176743803691,0,36.1190683771329,42.471042471042466,10.835720513139869,21.920538049570307,0.5293311744924648,Toronto,False,False,True,False,False,True,0.533213656952092
K1A,0.5559,35.0,30.0,0.0,130.0,75.0,85.0,72.0,73500.0,60.0,594.0,20.0,0.0,1068.5375067458176,0,5.892255892255893,12.626262626262626,5.05050505050505,21.885521885521886,0.0,Ottawa,False,True,False,False,True,False,0.5317567520480405
L9E,118.7335,5350.0,3735.0,280.0,3285.0,7700.0,6810.0,32.4,124000.0,5690.0,16933.0,1115.0,160.0,142.61349998104998,0,31.595110139963385,45.4733360892931,22.057520817338926,19.399988188743873,0.9449004901671292,GTA,False,False,False,False,False,False,0.5269027777039779
N2K,20.4743,7790.0,8010.0,745.0,6880.0,15275.0,14515.0,40.4,120000.0,12400.0,29381.0,2115.0,325.0,1435.0185354322248,0,26.513733365099895,51.989380892413465,27.262516592355603,23.41649365236037,1.1061570402641163,Other Ontario,True,False,False,True,False,False,0.5136358332068062
L1M,19.11,4855.0,5825.0,490.0,4895.0,11175.0,10575.0,38.0,154000.0,8970.0,22542.0,1605.0,300.0,1179.591836734694,0,21.537574305740396,49.57412829385148,25.84065300328276,21.715020849968948,1.3308490817141336,Other Ontario,True,False,False,True,False,False,0.5109739235276585
N2G,5.679,3610.0,3135.0,285.0,2745.0,7370.0,7180.0,38.0,62400.0,6095.0,14580.0,1085.0,175.0,2567.3534072900156,0,24.7599451303155,50.548696844993145,21.502057613168724,18.82716049382716,1.2002743484224965,Other Ontario,True,False,False,True,False,False,0.5017267669641414
L4A,228.6984,11065.0,12515.0,975.0,10855.0,23815.0,21330.0,41.6,122000.0,18305.0,50389.0,3030.0,480.0,220.32948197276417,0,21.959157752684117,47.26229931135764,24.836769929945028,21.54240012701185,0.9525888586794737,GTA,False,False,False,False,False,False,0.50065882035229
