FSA,LANDAREA,Bachelor's degree or higher,"Car, truck or van - as a driver","Car, truck or van - as a passenger",Couple-family households,Employed,Employee,Median age of the population,Median total income of household in 2020 ($),Permanent position,"Population, 2021",Temporary position,With children,population_density
K2R,67.4299,320.0,220.0,40.0,320.0,565.0,445.0,50.0,164000.0,360.0,1237.0,80.0,10.0,18.344977524807245
K2S,132.0912,10595.0,8430.0,760.0,9245.0,19555.0,18550.0,39.6,137000.0,15870.0,38903.0,2685.0,495.0,294.5162130406871
K2T,11.7509,4555.0,1950.0,180.0,2620.0,5650.0,5465.0,39.2,141000.0,4550.0,11871.0,915.0,85.0,1010.2204937494149
K2V,2.3724,3645.0,2215.0,250.0,2295.0,5575.0,5365.0,32.4,128000.0,4600.0,10486.0,765.0,135.0,4419.996627887372
K2W,64.675,2985.0,1675.0,165.0,1890.0,4450.0,4075.0,39.6,159000.0,3395.0,8553.0,685.0,105.0,132.24584460765365
K4A,32.7591,15115.0,13730.0,1375.0,13495.0,31865.0,30405.0,38.4,128000.0,25700.0,62125.0,4705.0,1010.0,1896.4196208076537
K4B,161.02,810.0,1285.0,95.0,1170.0,2270.0,1875.0,47.2,129000.0,1580.0,4704.0,300.0,115.0,29.213762265557072
K4C,27.9819,850.0,1140.0,65.0,1140.0,2170.0,1775.0,48.8,143000.0,1505.0,4538.0,270.0,70.0,162.17626394204825
K4K,54.1,1945.0,4825.0,370.0,4025.0,8045.0,7605.0,44.0,104000.0,6520.0,16958.0,1090.0,460.0,313.456561922366
K4M,54.8823,4035.0,3095.0,205.0,3675.0,6975.0,5930.0,43.2,146000.0,4950.0,14380.0,980.0,150.0,262.0152581068942
K4P,60.4823,2375.0,2595.0,205.0,2580.0,5225.0,4715.0,44.4,155000.0,4030.0,10448.0,685.0,155.0,172.74475342372892
K4R,88.1735,1550.0,2480.0,175.0,2250.0,4580.0,4235.0,39.6,127000.0,3675.0,8740.0,560.0,170.0,99.12275230086136
K6A,107.9393,755.0,3610.0,275.0,2690.0,4840.0,4680.0,54.8,58000.0,3910.0,12529.0,770.0,370.0,116.07449742586806
K6H,75.7605,2000.0,7615.0,1090.0,6065.0,11340.0,11265.0,46.0,61200.0,9625.0,30440.0,1640.0,720.0,401.79249080985477
K6J,25.6513,1155.0,4745.0,590.0,3430.0,6800.0,6855.0,46.8,60400.0,5985.0,17827.0,870.0,440.0,694.97452370835
K6K,12.7954,340.0,1235.0,80.0,845.0,1550.0,1500.0,45.2,83000.0,1290.0,3452.0,205.0,65.0,269.7844537880801
K6T,24.7581,65.0,310.0,25.0,180.0,380.0,355.0,49.2,108000.0,330.0,690.0,20.0,10.0,27.86966689689435
K6V,232.9388,2545.0,7685.0,840.0,6060.0,11205.0,10950.0,52.0,68500.0,8980.0,28174.0,1975.0,530.0,120.95022383561691
K7A,354.561,1250.0,5305.0,515.0,3775.0,7640.0,7290.0,46.8,74500.0,6355.0,17575.0,930.0,390.0,49.568339439475864
K7C,210.6034,2745.0,5900.0,560.0,4935.0,10000.0,9240.0,44.0,99000.0,8160.0,20382.0,1080.0,450.0,96.77906434558986
